hospital_name,lat,lng
Changi General Hospital,1.343263,103.954016
KK Women's and Children's Hospital,1.301189,103.848367
Sengkang General Hospital,1.391293,103.895080
Singapore General Hospital,1.277730,103.833767
Khoo Teck Puat Hospital,1.428567,103.835536
Tan Tock Seng Hospital,1.318268,103.847658
Woodlands Hospital,1.437772,103.787616
Alexandra Hospital,1.285591,103.804506
National University Hospital,1.294726,103.782712
Ng Teng Fong General Hospital,1.333637,103.742988
Mount Alvernia Hospital,1.331177,103.831785
Crawfurd Hospital,1.320101,103.813642
Farrer Park Hospital,1.312324,103.854818
Gleneagles Hospital,1.3074115,103.8200692
Mount Elizabeth Hospital,1.304500,103.835083
Mount Elizabeth Novena Hospital,1.322169,103.8441678
Parkway East Hospital,1.315110,103.908907
Raffles Hospital,1.301297,103.857291
Thomson Medical Centre,1.3254083,103.8414528
Outram Community Hospital,1.28967,103.85007
Sengkang Community Hospital,1.3964692,103.8912292
Yishun Community Hospital,1.42389,103.83722
Jurong Community Hospital,1.3329444,103.7470833
Ang Mo Kio - Thye Hua Kwan Hospital,1.3839647,103.8402805
Ren Ci Community Hospital,1.3260,103.8509
St. Andrew's Community Hospital,1.3417,103.9467
St Luke's Hospital,1.349345,103.742008
Institute of Mental Health,1.3818,103.8825
