polyclinic,address,postal_code,lat,lng,operator
SHP-Bedok,"11 Bedok North Street 1, #02-01/#03-01, Heartbeat@Bedok",469662,1.326100,103.938864,SingHealth
SHP-Bukit Merah,"Blk 163 Bukit Merah Central, #04-3565",150163,1.284714,103.819309,SingHealth
SHP-Eunos,"1 Chin Cheng Avenue",429400,1.319418,103.903261,SingHealth
SHP-Marine Parade,"80 Marine Parade Central, #01-792",440080,1.302940,103.906677,SingHealth
SHP-Outram,"3 Second Hospital Avenue, #02-00, Health Promotion Board Building",168937,1.278635,103.833982,SingHealth
SHP-Pasir Ris,"6 Pasir Ris Drive 8, #1M-01",519466,1.377631,103.951407,SingHealth
SHP-Punggol,"681 Punggol Drive, #02-01, Oasis Terraces",820681,1.405215,103.909540,SingHealth
SHP-Sengkang,"2 Sengkang Square, #01-06, Sengkang Community Hub",545025,1.391811,103.895443,SingHealth
SHP-Tampines,"1 Tampines Street 41",529203,1.352787,103.948872,SingHealth
SHP-Tampines North,"35 Tampines Street 61",528566,1.371288,103.935909,SingHealth
