polyclinic,town,address,postal_code,operator
Ang Mo Kio Polyclinic,Ang Mo Kio,21 Ang Mo Kio Central 2,569666,NHG
Geylang Polyclinic,Geylang,21 Geylang East Central,389707,NHG
Hougang Polyclinic,Hougang,89 Hougang Avenue 4,538829,NHG
Kallang Polyclinic,Kallang/Whampoa,701 Serangoon Road,328263,NHG
Khatib Polyclinic,Yishun,690 Yishun Ring Road,769567,NHG
Sembawang Polyclinic,Sembawang,21 Canberra Link #01-03,756973,NHG
Serangoon Polyclinic,Serangoon,587 Upper Serangoon Rd,534564,NHG
Toa Payoh Polyclinic,Toa Payoh,2003 Toa Payoh Lor 8,319260,NHG
Woodlands Polyclinic,Woodlands,10 Woodlands Street 31,738579,NHG
Yishun Polyclinic,Yishun,2 Yishun Ave 9,768898,NHG
